job_id,company_id,job_title_short,job_title,job_location,job_via,job_schedule_type,job_work_from_home,search_location,job_posted_date,job_no_degree_mention,job_health_insurance,job_country,salary_rate,salary_year_avg,salary_hour_avg
220,18,Senior Data Engineer,Senior Data Engineer (Kafka),United States,via LinkedIn,Full-time,FALSE,Sudan,5/15/2023,FALSE,FALSE,Sudan,year,325000,
284,21,Data Engineer,"Data Engineer, Product Analytics","Burlingame, CA",via LinkedIn,Full-time,FALSE,"Texas, United States",11/28/2023,FALSE,FALSE,United States,year,164000,
870,54,Data Engineer,Data Engineer,"Ashland, KY",via LinkedIn,Full-time,FALSE,Georgia,9/27/2023,TRUE,FALSE,United States,year,130000,
1785,97,Data Scientist,DATA SCIENTIST / DATABASE PROGRAMMER,"Denver, CO",via Indeed,Full-time,FALSE,"Texas, United States",3/23/2023,FALSE,TRUE,United States,year,100000,
2604,54,Data Analyst,Data Analyst,"Chicago, IL",via LinkedIn,Full-time,FALSE,"Illinois, United States",8/29/2023,TRUE,FALSE,United States,year,85000,
3569,191,Senior Data Scientist,Senior Data Scientist,"Jacksonville, FL",via LinkedIn,Full-time,FALSE,Georgia,11/3/2023,FALSE,TRUE,United States,year,170000,
5602,274,Senior Data Engineer,Senior Data Engineer (Hybrid Schedule),California,via LinkedIn,Full-time,FALSE,Sudan,11/4/2023,FALSE,TRUE,Sudan,year,133000,
6066,296,Senior Data Engineer,Senior Data Engineer,"Oklahoma City, OK",via Indeed,Full-time,FALSE,"New York, United States",6/2/2023,FALSE,FALSE,United States,year,117500,
7040,347,Data Engineer,Staff Data Engineer,"San Diego, CA",via LinkedIn,Full-time,FALSE,"Illinois, United States",10/5/2023,TRUE,TRUE,United States,year,140000,
7565,377,Data Analyst,Data Analyst,"Irving, TX",via Indeed,Full-time,FALSE,"Texas, United States",1/2/2023,TRUE,FALSE,United States,year,50000,
7611,382,Data Engineer,Data Engineer - AI Start-Up,Anywhere,via LinkedIn,Full-time,TRUE,Georgia,12/4/2023,FALSE,FALSE,United States,year,155000,
8180,415,Data Scientist,Research Data Scientist & Administrator III - Hybrid,"Houston, TX",via Indeed,Full-time,FALSE,"Texas, United States",2/7/2023,FALSE,TRUE,United States,year,128195,
8962,123,Data Engineer,1412967 - Data Engineer,"Raleigh, NC",via LinkedIn,Full-time,FALSE,"Illinois, United States",12/15/2023,FALSE,FALSE,United States,year,155000,
9715,152,Senior Data Engineer,Senior Data Engineer,"Los Angeles, CA",via Adzuna,Full-time,FALSE,"New York, United States",1/1/2023,FALSE,TRUE,United States,year,137150,
9735,479,Data Scientist,"Head, Data Decision Science","Johannesburg, South Africa",via Ai-Jobs.net,Full-time,FALSE,South Africa,1/28/2023,FALSE,FALSE,South Africa,year,69300,
10235,66,Senior Data Analyst,"SVP, NAM Data Strategy Lead (Data Analytics Senior Lead Analyst...","Jacksonville, FL",via PIX11 Jobs,Full-time,FALSE,Georgia,6/19/2023,FALSE,FALSE,United States,year,188675,
11046,545,Data Engineer,Data Engineer with Azure,Anywhere,via ZipRecruiter,Full-time,TRUE,"Illinois, United States",8/4/2023,TRUE,FALSE,United States,year,105000,
13653,681,Data Scientist,Data Scientist - Security Clearance,"La Plata, MD",via Indeed,Full-time,FALSE,"New York, United States",9/29/2023,FALSE,FALSE,United States,year,165000,
14027,699,Data Analyst,Data Analyst,"St. Charles, IL",via LinkedIn,Full-time,FALSE,"Illinois, United States",1/16/2023,FALSE,FALSE,United States,year,75000,
14742,741,Data Engineer,"Data Engineer, Smartwool and Altra",Colorado,via LinkedIn,Full-time,FALSE,"Texas, United States",1/31/2023,FALSE,FALSE,United States,year,95000,
16842,841,Senior Data Engineer,Senior Data Engineer - Infrastructure Engineering,"San Jose, CA",via LinkedIn,Full-time,FALSE,"Texas, United States",3/29/2023,FALSE,TRUE,United States,year,233520,
18959,938,Senior Data Engineer,Senior Software Engineer - Data Infrastructure,United States,via Ai-Jobs.net,Full-time,FALSE,Sudan,5/31/2023,FALSE,TRUE,Sudan,year,213500,
19387,960,Data Analyst,Data Analyst II/III (Lending Analytics),"Vienna, VA",via Indeed,Full-time,FALSE,"New York, United States",4/20/2023,FALSE,FALSE,United States,year,110200,
20951,1022,Data Analyst,Statistical Data Analyst,"Peoria, IL",via LinkedIn,Full-time,FALSE,"Illinois, United States",11/27/2023,FALSE,FALSE,United States,year,62500,
21145,1032,Senior Data Analyst,Senior Labor Market Data Analyst,Anywhere,via Idealist,Full-time,TRUE,"California, United States",3/23/2023,FALSE,FALSE,United States,year,115442,
21302,1037,Software Engineer,Senior Software Engineer (Data Analytics / Big Data Engineer ),"Redwood City, CA",via LinkedIn,Full-time,FALSE,Georgia,11/13/2023,TRUE,TRUE,United States,year,150000,
22262,1080,Data Scientist,Healthcare Data Scientist,"Indianapolis, IN",via LinkedIn,Full-time,FALSE,Georgia,1/11/2023,FALSE,TRUE,United States,year,61022,
23999,1161,Data Scientist,Data Scientist - Entity Resolution (50% REMOTE) Jobs,"Huntsville, AL",via Clearance Jobs,Contractor,FALSE,"Florida, United States",3/22/2023,FALSE,FALSE,United States,year,137500,
24595,1192,Senior Data Engineer,Senior Data Engineer,"Berlin, Germany",via Ai-Jobs.net,Full-time,FALSE,Germany,6/12/2023,TRUE,FALSE,Germany,year,147500,
25228,1217,Data Engineer,Application Software Integrator (Data Engineer) w/TS SCI,"Rockville, MD",via Big Country Jobs,Full-time,FALSE,"California, United States",8/19/2023,FALSE,FALSE,United States,year,99000,
25405,1230,Data Engineer,$140K/YR - Data Engineer( Python/Kafka / AWS LAMBDA)- 100% Remote,Anywhere,via LinkedIn,Contractor,TRUE,Sudan,9/19/2023,TRUE,FALSE,Sudan,year,135000,
25889,1259,Data Engineer,Data Engineer Consultant,Anywhere,via LinkedIn,Full-time,TRUE,"Illinois, United States",6/21/2023,TRUE,TRUE,United States,year,125000,
26305,1277,Data Engineer,"Data Engineer (Python, SQL)","Sunnyvale, CA",via Dice,Contractor,FALSE,"Florida, United States",3/15/2023,FALSE,TRUE,United States,year,70000,
26336,1280,Data Scientist,Data Scientist,"Denver, CO",via ComputerJobs.com,Full-time,FALSE,Sudan,8/13/2023,FALSE,TRUE,Sudan,year,87450,
26694,1299,Data Engineer,178: Data Engineer,"Los Angeles, CA",via Dice,Full-time,FALSE,"Illinois, United States",7/11/2023,TRUE,FALSE,United States,year,156500,
26851,1307,Senior Data Engineer,Senior Data Engineer,"Beaverton, OR",via ZipRecruiter,Full-time,FALSE,"Illinois, United States",12/21/2023,FALSE,FALSE,United States,year,160000,
28000,1364,Data Engineer,Data Engineer,"Roanoke, VA",via LinkedIn,Full-time,FALSE,"New York, United States",3/24/2023,FALSE,FALSE,United States,year,102500,
28776,483,Data Engineer,Data Engineer,"Warsaw, Poland",via Ai-Jobs.net,Full-time,FALSE,Poland,2/17/2023,FALSE,FALSE,Poland,year,147500,
28993,1420,Data Scientist,Soil Data Scientist,Anywhere,via LinkedIn,Full-time,TRUE,Sudan,2/21/2023,FALSE,FALSE,Sudan,year,155000,
31297,1529,Senior Data Engineer,Senior Data Engineer,"New York, NY",via LinkedIn,Full-time,FALSE,Georgia,9/19/2023,FALSE,TRUE,United States,year,180000,
31475,1539,Data Engineer,Data Engineer - H/F,"Paris, France",via Ai-Jobs.net,Full-time,FALSE,France,5/2/2023,TRUE,FALSE,France,year,97444,
31883,797,Data Engineer,BI/Data Engineer,"Sarasota, FL",via Robert Half,Full-time,FALSE,"Texas, United States",6/26/2023,TRUE,FALSE,United States,year,85000,
32246,1573,Senior Data Scientist,Senior Dir & Data Scientist - AI & Underwriting Automation,"Alpharetta, GA",via JobServe,Full-time,FALSE,Georgia,9/21/2023,FALSE,TRUE,United States,year,204000,
32612,1592,Data Engineer,Data Engineer,"San Francisco, CA",via LinkedIn,Full-time,FALSE,Georgia,5/12/2023,FALSE,TRUE,United States,year,120000,
32764,1605,Data Engineer,AWS Data Engineer - Hybrid - Salary $115k-$160k,"Thousand Oaks, CA",via LinkedIn,Full-time,FALSE,Sudan,2/24/2023,FALSE,FALSE,Sudan,year,142500,
32990,453,Senior Data Engineer,Senior Cloud Data Engineer,"Thousand Oaks, CA",via Dice,Full-time,FALSE,"California, United States",6/3/2023,FALSE,TRUE,United States,year,175000,
33497,27,Data Analyst,Data Analyst - Healthcare,"Jacksonville, FL",via LinkedIn,Full-time,FALSE,"Florida, United States",11/3/2023,FALSE,FALSE,United States,year,62500,
33572,1638,Data Analyst,Data Solutions Analyst,"Atlanta, GA",via LinkedIn,Full-time,FALSE,Georgia,10/11/2023,FALSE,FALSE,United States,year,52500,
34033,1649,Machine Learning Engineer,Chatbot Specialist,Hong Kong,via Ai-Jobs.net,Full-time,FALSE,Hong Kong,8/9/2023,FALSE,FALSE,Hong Kong,year,72000,
35667,154,Senior Data Engineer,Senior Manager - Data Engineer,"Tuckahoe, NY",via WANE Jobs,Full-time,FALSE,"California, United States",2/4/2023,FALSE,TRUE,United States,year,246500,
36488,1742,Data Analyst,Data Analyst (Remote),Anywhere,via ZipRecruiter,Full-time,TRUE,"Texas, United States",11/17/2023,TRUE,TRUE,United States,year,79416,
37239,1777,Data Scientist,Data Scientist - CIA Job Opportunities,"San Diego, CA",via 247 Careers For Freshers,Full-time,FALSE,"California, United States",3/10/2023,FALSE,FALSE,United States,year,85000,
37518,1799,Data Analyst,Data Analyst - mid-level,Philippines,via Ai-Jobs.net,Contractor,FALSE,Philippines,2/9/2023,FALSE,FALSE,Philippines,year,98500,
37669,1809,Senior Data Engineer,Senior Principal Data Engineer,India,via Ai-Jobs.net,Full-time,FALSE,India,12/11/2023,FALSE,FALSE,India,year,155000,
38204,1833,Cloud Engineer,Senior Vision Engineer,"Wroc?aw, Poland",via Ai-Jobs.net,Full-time,FALSE,Poland,11/18/2023,FALSE,FALSE,Poland,year,79200,
38463,1846,Data Engineer,Data Engineer,"Cincinnati, OH",via LinkedIn,Full-time,FALSE,Georgia,6/26/2023,FALSE,FALSE,United States,year,125000,
38919,1863,Data Analyst,Business Data Analyst,"Miami, FL",via Indeed,Full-time,FALSE,"Florida, United States",1/27/2023,FALSE,TRUE,United States,year,70000,
39038,1871,Data Engineer,Lead Data Engineer,"Barcelona, Spain",via Ai-Jobs.net,Full-time,FALSE,Spain,1/31/2023,FALSE,FALSE,Spain,year,131580,
41759,1979,Senior Data Engineer,Senior Data Engineer (Business Intelligence),Anywhere,via LinkedIn,Full-time,TRUE,Sudan,5/2/2023,FALSE,TRUE,Sudan,year,150000,
